pseudo_id,type,reason,expiration_date
47fc1952c5f2a7403681a61bba50f6e3,Produkt,Anden avis/produkt,2025-12-04
2c32c80e711319c80b09ba09c6809d26,Andet,Ingen årsag – ingen tlf kontakt,2025-05-08
7c4436fb02b5ec2e2f2926846b4f1df7,Tid,Ikke tid,2025-05-09
25567a00c727a5f238f2147e7806428f,Produkt,Redaktionelt indhold / holdning,2025-05-08
1db6ca5e773d6284f2ae5553a7425e46,Produkt,Redaktionelt indhold / holdning,2025-12-09
1dd10be27abc5ad145852d8b3ac41bc5,Andet,kunden ønsker ikke at oplyse,2025-06-08
01f92382940313bede15a74a51bc1ecb,Produkt,Redaktionelt indhold / holdning,2025-05-20
f52035d04affa1321c66d4076947afcb,Produkt,Redaktionelt indhold / holdning,2025-08-03
daa026f87a34f553164a8b7d87d095e9,Tid,Ikke tid,2025-07-20
41241b233e501a67f213f3ef32ec13e3,Andet,kunden ønsker ikke at oplyse,2025-05-02
c62e2aca7afc1e9c73872a62e30e7848,Digitalt,Oprettet med forkert e-mail,2025-08-12
59f0a3e11217529a01c1eefef93e8a98,Produkt,Redaktionelt indhold / holdning,2025-05-20
6fc98d7428258b1f7e2cbfcf32151197,Produkt,Redaktionelt indhold / holdning,2025-05-08
8b7f6aa45ee2f16c5020b05f5ef44a95,Tid,Ikke tid,2025-05-10
62891d0bcc22360e6d25694b45cd0920,Tid,Ikke tid,2025-05-14
513a1875871ce9ee20375595a2ff9231,Andet,Ingen årsag – ingen tlf kontakt,2025-05-16
003a92354fb88e0e3e411bc290291b6a,Andet,kunden ønsker ikke at oplyse,2025-06-04
bbb3918da131e3f8c9ab270a2224ef1b,Tid,Ikke tid,2025-05-18
70b4d870d09b91a6d0b8b07af47a65c5,Produkt,Redaktionelt indhold / holdning,2025-05-14
e7bc7f5186893dc1471ef45413025209,Andet,Ingen årsag – ingen tlf kontakt,2025-12-14
203fd81682e38a68c4f3fe5cec48bd4a,Tid,Ikke tid,2026-02-18
dfbfebca04d0444f52ab783f051fcca9,Produkt,Redaktionelt indhold / holdning,2025-06-03
c5211e8f7bb8fd20ed1c5643c278b1d5,Andet,kunden ønsker ikke at oplyse,2025-07-21
6e0aa1e08827251ef1efacbc4b157402,Økonomi,Pris,2025-11-14
93e230b871260afcd9027dfe1742fd01,Økonomi,Pris,2025-11-04
996dc85b06c948a2c541b04413a9dfb4,Tid,Ikke tid,2025-05-02
cb06350478e8e8b0fda136751593b4ea,Økonomi,Pris,2025-12-04
f4a021012e0379b342bd520316e25b69,Tid,Ikke tid,2025-05-20
0e2c28fe864fd90012aede0054822295,Tid,Ikke tid,2025-05-26
d374ac8a05dd70988c87e7734fff9854,Andet,kunden ønsker ikke at oplyse,2025-05-19
c2e33d069a7f2e3c6240025cfefe99aa,Andet,kunden ønsker ikke at oplyse,2025-05-09
1c19b47d6d52112543b30ae5cb9e6153,Produkt,Redaktionelt indhold / holdning,2025-05-20
223c8361a0a978b0e4d312112990dba8,Andet,RVS,2025-06-14
3e7f5b8de782a6936c4b6f5ad96432de,Andet,Administrativt,2025-05-06
6018d711be0ab2c0b733e52453da95a3,Andet,Ingen årsag – ingen tlf kontakt,2025-07-14
11358b0c3d185f3ea7fdae8c43348eff,Økonomi,Pris,2025-06-03
a2dd7c714c31465cdaf26be48eae1587,Andet,Ingen årsag – ingen tlf kontakt,2025-05-04
303860c1806cd8777515040378492fd6,Produkt,Redaktionelt indhold / holdning,2025-05-13
e5a9bf5971c8c820f1bbace57420b0d6,Andet,kunden ønsker ikke at oplyse,2025-05-05
d4a474d23bf644364f87a33c55b0e0c1,Andet,kunden ønsker ikke at oplyse,2025-05-16
bdd01e087db83c6919655477c3a9d8e6,Andet,kunden ønsker ikke at oplyse,2025-05-21
4ea127252a03310c4fa0e4bd18b2cf9b,Produkt,Anden avis/produkt,2025-06-22
04636e2dfe9fba50ab9943a5a44bdf11,Andet,kunden ønsker ikke at oplyse,2025-12-20
8e19042933cfe2a4899f617526666507,Andet,kunden ønsker ikke at oplyse,2025-05-04
6fb1e9004f8d35f50e52770323e9a26b,Tid,Ikke tid,2025-05-16
5f3f0dee1e07a275c13edeab81b5dc24,Økonomi,Pris,2026-08-06
faa5fa17d662699ba69d3b79387dec5e,Andet,Ingen årsag – ingen tlf kontakt,2025-05-21
26a8b7f9adc53ba2b3ee6c4ab26213d7,Tid,Ikke tid,2025-06-20
1230fd711f4acd99dfd4d06a8f0d8ece,Tid,Ikke tid,2025-07-09
04a08cd300c7b1c80803fac3de32df92,Andet,Ingen årsag – ingen tlf kontakt,2025-06-11
abeb1d79971bcb963d77fc429fdc130d,Tid,Ikke tid,2025-08-20
45334961f410050e6723765f1b7eae29,Tid,Ikke tid,2025-06-04
3926332ead4babb99d80e51a8649ed02,Andet,kunden ønsker ikke at oplyse,2025-07-10
b614f17cb152704959cdf42349d6a4cb,Andet,Ingen årsag – ingen tlf kontakt,2025-05-04
077ad124aef49eab3dc083a6fb080799,Andet,RVS,2025-07-19
798f1ad26b892da22923188a9e8e4797,Tid,Ikke tid,2025-11-04
48ad2a72e663d97240e3537688764632,Tid,Ikke tid,2025-05-20
