"Feature","Gain","Cover","Frequency"
"account_active_days",0.146856940196187,0.128822862595151,0.108263069139966
"account_active_days_before_campaign",0.123375258301347,0.0883518105767483,0.0559865092748735
"churn_10",0.11020739501388,0.0860064839806008,0.039460370994941
"previous_subscriptions",0.0769207899071512,0.0584643034140912,0.0472175379426644
"total_previous_engagement",0.0594548790926476,0.0492556153165352,0.0411467116357504
"avg_scroll",0.0578140009965822,0.0572111831677854,0.0782462057335582
"previous_campaigns",0.0546378231720028,0.0410789072686383,0.0344013490725126
"restricted_ratio",0.0427643869908764,0.0523879525487411,0.0647554806070826
"days_since_user_created",0.0413777066832095,0.0604202838421996,0.0704890387858347
"unique_pages",0.0387900087177606,0.0482342591826115,0.0543001686340641
"age_engagement_interaction",0.0362875764883786,0.0443218959738413,0.0526138279932546
"age_at_order",0.0349127951976132,0.0607259045126123,0.0613827993254637
"visits",0.0307678121456229,0.0323987205519961,0.0431703204047218
"restricted_views",0.0232486647563817,0.028310899984242,0.0354131534569983
"age",0.0202214395651081,0.0212515023730291,0.0411467116357504
"engagement_score",0.0171638303957843,0.0215857850118517,0.0209106239460371
"mobile_ratio",0.0161428740864559,0.0184665852686361,0.0306913996627319
"desktop_ratio",0.0139112844408176,0.016592576261854,0.027318718381113
"previous_trials",0.0124391184768611,0.0179755942216953,0.0198988195615514
"newsletters_before_order",0.010036911556881,0.01859677683516,0.0168634064080944
"permission_engagement",0.00820304513502512,0.010466486257397,0.0158516020236088
"koenKvinde",0.00797561680253057,0.0136134539778154,0.0118043844856661
"age_group55–64",0.0043761995936252,0.00993605335818607,0.006070826306914
"koenMand",0.00321503247984621,0.00522469370204089,0.00708263069139966
"age_group45–54",0.00252106338749688,0.00332235218125704,0.003035413153457
"permission_given_todayTRUE",0.00217504703177263,0.00171394530612771,0.00472175379426644
"permission_given_orderTRUE",0.00156923116970288,0.00180607401029495,0.00236087689713322
"age_group35–44",0.0015081056349828,0.00286769040531656,0.00236087689713322
"mobile_heavy",0.000678327266504963,0.000359946600373155,0.00134907251264755
"permission_user",0.00021630519299347,8.28950009157542e-05,0.000674536256323777
"age_group25–34",0.000174799012602283,0.00011451735276005,0.000674536256323777
"age_group65+",5.57311113675542e-05,3.19889594950282e-05,0.000337268128161889
