pseudo_id,subscription_cancel_date,order_date,koen,birthdate,usr_created,order_trackertag,permission_given_order,permission_given_today,previous_subscriptions,previous_campaigns,previous_trials,first_campaign_day,last_campaign_day,newsletters_before_order,newsletters_after_order,type,reason,expiration_date,end_date,subscription_length_days,length_group,age,age_group,continued_after_campaign,fast_churn,fast_churn_converted,churn_10,account_active_days_before_campaign,visits,unique_pages,restricted_views,restricted_ratio,avg_scroll,mobile_ratio,desktop_ratio,antal_sidevisninger,antal_unikke_dage,antal_unikke_sider,antal_artikler,antal_unikke_artikler,andel_restricted,antal_restricted,gns_scroll,andel_fuld_scroll,andel_ingen_scroll,primær_device,er_mobil_primær,antal_devices,andel_search,andel_internal,andel_email,andel_social,primær_kanal,andel_indland,andel_udland,andel_sport,andel_oekonomi,andel_forside,første_besøg,sidste_besøg,dage_aktiv_span,gns_sider_pr_dag,cluster
003a92354fb88e0e3e411bc290291b6a,2025-05-11,2025-03-05T14:27:57Z,Kvinde,1950-01-08,2013-05-17,utm_campaign=Marts25&utm_content=b&utm_medium=mail&utm_source=mail,FALSE,FALSE,5,4,2,2025-03-05,2025-05-04,1,1,Andet,kunden ønsker ikke at oplyse,2025-06-04,2025-05-11,67,30–90 dage,76,65+,1,0,0,1,327,517,269,154,0.2978723404255319,0.3471953578336557,0.4796905222437137,0.5203094777562862,517,31,269,285,264,0.2978723404255319,154,0.3471953578336557,0.2205029013539652,0.5377176015473888,Computer,0,2,0.02580645161290322,0.8741935483870967,0,0,internal,0.1644100580270793,0,0.00386847195357833,0,0.4332688588007737,2025-03-05,2025-04-04,30,16.677419354838708,1
004b2a16f2f9167482481fec96be4856,2025-04-29,2025-03-05T08:34:30Z,Kvinde,1956-07-26,2022-01-04,utm_campaign=Basis_22&utm_content=HeaderButtonRaised&utm_medium=Matrice&utm_source=jp.dk,FALSE,TRUE,15,13,1,2025-03-05,2025-05-04,0,0,Andet,Ingen årsag – ingen tlf kontakt,2025-05-04,2025-04-29,55,30–90 dage,69,65+,0,0,0,0,1270,603,300,193,0.3200663349917081,0.417910447761194,0.8308457711442786,0,603,31,300,335,298,0.3200663349917081,193,0.417910447761194,0.3582089552238806,0.5406301824212272,Mobile,1,2,0.4468802698145025,0.5446880269814502,0,0,internal,0.1824212271973466,0,0.01492537313432835,0,0.4427860696517413,2025-03-05,2025-04-04,30,19.451612903225808,1
00926277841584d8b248be711203cd9a,2025-03-18,2025-03-18T19:02:03Z,Mand,1986-07-31,2025-03-18,utm_campaign=Marts25&utm_content=A&utm_medium=content&utm_source=jp.dk,FALSE,FALSE,0,0,0,2025-03-18,2025-05-17,0,0,Andet,kunden ønsker ikke at oplyse,2025-05-17,2025-03-18,0,0–30 dage,39,35–44,0,1,0,0,1,15,6,5,0.3333333333333333,0.36666666666666664,1,0,15,2,6,9,5,0.3333333333333333,5,0.36666666666666664,0.26666666666666666,0.4666666666666667,Mobile,1,1,0,0.6363636363636364,0,0,internal,0.4,0,0,0,0.4,2025-03-18,2025-03-22,4,7.5,2
00acdfda9fa250382f43bdf7da59d814,2025-05-15,2025-03-15T16:51:26Z,Kvinde,1980-08-24,2025-03-15,utm_campaign=Marts25&utm_content=B&utm_medium=content&utm_source=jp.dk,FALSE,FALSE,0,0,0,2025-03-15,2025-05-14,0,0,Produkt,Redaktionelt indhold / holdning,2025-06-14,2025-05-15,61,30–90 dage,45,45–54,1,0,0,1,32,8,5,5,0.625,0.625,1,0,8,6,5,8,5,0.625,5,0.625,0.375,0.125,Mobile,1,1,0,0,0,0,unknown,0.5,0,0,0,0,2025-03-15,2025-03-29,14,1.3333333333333333,3
00bb9af8a62895982518727b0ee03565,2025-06-04,2025-03-17T13:52:24Z,Kvinde,1952-01-24,2020-05-16,utm_campaign=Basis_22&utm_content=HeaderButtonRaised&utm_medium=Matrice&utm_source=jp.dk,TRUE,FALSE,2,2,0,2025-03-17,2025-05-16,0,0,Tid,Ikke tid,2025-06-16,2025-06-04,79,30–90 dage,74,65+,1,0,0,0,521,46,15,9,0.1956521739130435,0.16847826086956522,0,1,46,14,15,14,14,0.1956521739130435,9,0.16847826086956522,0.08695652173913043,0.7391304347826086,Computer,0,1,0,0.875,0,0,internal,0.06521739130434782,0,0,0,0.6956521739130435,2025-03-17,2025-04-12,26,3.2857142857142856,1
00bdb5b652070c2b33e241a5998600e3,2025-03-04,2025-03-04T10:09:58Z,Mand,1992-07-21,2021-07-19,utm_campaign=Basis_22&utm_content=HeaderButtonRaised&utm_medium=Matrice&utm_source=jp.dk,FALSE,FALSE,4,3,0,2025-03-04,2025-05-03,0,0,Andet,kunden ønsker ikke at oplyse,2025-05-03,2025-03-04,0,0–30 dage,33,25–34,0,1,0,0,1364,253,104,59,0.233201581027668,0.24802371541501977,0.43873517786561267,0.5612648221343873,253,28,104,112,103,0.233201581027668,59,0.24802371541501975,0.15810276679841898,0.6403162055335968,Computer,0,2,0.4940239043824701,0.47410358565737054,0,0,search,0.03557312252964427,0,0.00395256916996047,0,0.5573122529644269,2025-03-04,2025-04-03,30,9.035714285714286,2
0117ef4e2fc98208852da4c90c5bd4f0,2026-01-08,2025-03-06T11:55:55Z,Mand,1967-12-03,2021-09-24,utm_campaign=Marts25&utm_content=b&utm_medium=mail&utm_source=mail,FALSE,TRUE,9,6,4,2025-03-06,2025-05-05,5,4,Tid,Ikke tid,2026-02-05,2026-01-08,308,270–365 dage,58,55–64,1,0,0,0,1441,201,109,72,0.3582089552238806,0.47761194029850745,0.26865671641791045,0.7313432835820896,201,24,109,132,107,0.3582089552238806,72,0.47761194029850745,0.32338308457711445,0.4228855721393035,Computer,0,2,0,0.9902912621359224,0,0,internal,0.19402985074626863,0,0,0,0.3383084577114428,2025-03-06,2025-04-04,29,8.375,4
014a894f1b5194be36a9abcba96789ed,2025-08-22,2025-03-19T10:01:58Z,Kvinde,1990-03-05,2018-05-02,utm_campaign=Basis_22&utm_content=HeaderButtonRaised&utm_medium=Matrice&utm_source=jp.dk,FALSE,FALSE,0,0,0,2025-03-19,2025-05-18,0,0,Tid,Ikke tid,2025-09-18,2025-08-22,156,90–180 dage,36,35–44,1,0,0,0,124,15,13,4,0.26666666666666666,0.5166666666666667,0,1,15,10,13,12,10,0.26666666666666666,4,0.5166666666666667,0.3333333333333333,0.26666666666666666,Computer,0,1,0.8,0.06666666666666667,0,0.06666666666666667,search,0.3333333333333333,0,0,0,0.06666666666666667,2025-03-19,2025-04-14,26,1.5,3
0152a4407923a40bef8b35a2b112ae30,2025-03-31,2025-03-05T23:27:22Z,Mand,1952-04-20,2014-06-12,utm_campaign=Marts25&utm_content=b&utm_medium=mail&utm_source=mail,FALSE,TRUE,12,2,6,2025-03-05,2025-05-04,3,3,Andet,kunden ønsker ikke at oplyse,2025-05-04,2025-03-31,26,0–30 dage,74,65+,0,0,0,0,1196,80,42,26,0.325,0.4875,0,1,80,10,42,52,40,0.325,26,0.4875,0.4375,0.45,Computer,0,1,0,0.810126582278481,0,0,internal,0.0625,0,0,0,0.1375,2025-03-06,2025-04-04,29,8,2
015c8f8df318631d67492e3d94b2794b,2025-12-04,2025-03-05T14:06:56Z,Mand,1955-10-23,2021-09-30,utm_campaign=Marts25&utm_content=b&utm_medium=mail&utm_source=mail,FALSE,TRUE,5,4,1,2025-03-05,2025-05-04,1,1,Andet,kunden ønsker ikke at oplyse,2025-12-04,2025-12-04,274,270–365 dage,70,65+,1,0,0,0,696,772,381,255,0.33031088082901555,0.35006476683937826,0.8989637305699482,0,772,31,381,469,373,0.33031088082901555,255,0.35006476683937826,0.2344559585492228,0.5323834196891192,Mobile,1,2,0,0.998324958123953,0,0,internal,0.16321243523316062,0,0.02072538860103627,0,0.3536269430051813,2025-03-05,2025-04-04,30,24.903225806451612,4
