"Feature","Gain","Cover","Frequency"
"account_active_days",0.199930188759856,0.169058976750081,0.128342245989305
"churn_10",0.107951560160097,0.0874406619273896,0.0387700534759358
"previous_subscriptions",0.0771094923782624,0.065942351156839,0.0511363636363636
"days_active_before_campaign",0.0658257082887901,0.0418315229137457,0.0304144385026738
"total_previous_engagement",0.0603262807425476,0.046738578090606,0.0394385026737968
"avg_scroll",0.0579132022380439,0.060019475670755,0.0765374331550802
"previous_campaigns",0.0532846253493801,0.0419055857522799,0.0344251336898396
"restricted_ratio",0.0443600487208942,0.0597475382628175,0.070855614973262
"days_since_user_created",0.0420782897807199,0.0544715882238507,0.0741978609625669
"unique_pages",0.0364717060260728,0.0456275451093724,0.054144385026738
"age_engagement_interaction",0.0341425207073108,0.0457836127093767,0.0511363636363636
"visits",0.0325508605922514,0.0288252793583154,0.043783422459893
"age_at_order",0.0306601872227445,0.052724568585201,0.0554812834224599
"restricted_views",0.028351358703837,0.031383245267425,0.0374331550802139
"age",0.0217416563983129,0.0249146507397644,0.0417780748663102
"engagement_score",0.0201795252282132,0.0267505186636889,0.0237299465240642
"desktop_ratio",0.0173406420516319,0.0149026002743054,0.0310828877005348
"mobile_ratio",0.0152716878010581,0.0172163339724922,0.0300802139037433
"previous_trials",0.0147919740199025,0.0206082232606354,0.0203877005347594
"newsletters_before_order",0.00864066960905233,0.0150454271926023,0.0127005347593583
"koenKvinde",0.00806413607424745,0.0137994866152025,0.0120320855614973
"permission_engagement",0.00679174050568598,0.00924179185952213,0.0133689839572193
"age_group55–64",0.00400184191314471,0.0100348433774705,0.00701871657754011
"koenMand",0.00384006783147205,0.00607199390351934,0.00701871657754011
"permission_given_todayTRUE",0.00250692604124733,0.00187787561672444,0.0053475935828877
"age_group45–54",0.00245059645901591,0.0029894666965907,0.00334224598930481
"permission_given_orderTRUE",0.00147981005063953,0.0026027669201732,0.00267379679144385
"age_group35–44",0.00122782865834352,0.00159600035224468,0.00200534759358289
"mobile_heavy",0.000530233710623699,0.000757386317353629,0.000668449197860963
"age_group25–34",0.000108206864427589,6.90108478898609e-05,0.000334224598930481
"permission_user",7.64271121730924e-05,2.10936117658683e-05,0.000334224598930481
